variant,size,seed,layers,similarity,total_clusters,num_clusters_red,num_clusters_green,num_clusters_blue,largest_red,largest_green,largest_blue,total_red,total_green,total_blue,frac_largest_red,frac_largest_green,frac_largest_blue
with_influencer,20,605,3,hybrid,9,3,1,5,44,109,78,70,109,136,0.628571,1.000000,0.573529
without_influencer,20,70,1,hybrid,16,5,5,6,69,97,22,119,124,68,0.579832,0.782258,0.323529
without_influencer,20,70,3,hybrid,30,9,8,13,109,87,25,137,106,68,0.795620,0.820755,0.367647
with_influencer,20,70,1,hybrid,10,3,2,5,98,107,25,109,122,80,0.899083,0.877049,0.312500
with_influencer,20,70,2,hybrid,12,5,2,5,81,105,23,122,125,64,0.663934,0.840000,0.359375
with_influencer,20,70,3,hybrid,11,4,3,4,138,87,29,163,96,52,0.846626,0.906250,0.557692
baseline,40,42,1,cosine,138,52,43,43,211,325,183,407,452,400,0.518428,0.719027,0.457500
baseline,40,11,1,cosine,137,53,43,41,255,177,99,425,443,404,0.600000,0.399549,0.245050
baseline,40,20,1,cosine,135,48,45,42,143,159,161,405,397,443,0.353086,0.400504,0.363431
without_influencer,40,42,1,hybrid,48,14,19,15,124,139,130,371,481,407,0.334232,0.288981,0.319410
baseline,40,17,1,cosine,109,41,30,38,195,181,158,414,437,394,0.471014,0.414188,0.401015
without_influencer,40,11,1,hybrid,45,17,17,11,95,154,197,429,422,421,0.221445,0.364929,0.467933
without_influencer,40,11,2,hybrid,71,30,18,23,76,183,173,429,470,373,0.177156,0.389362,0.463807
with_influencer,40,11,1,hybrid,39,15,16,8,101,161,210,395,460,417,0.255696,0.350000,0.503597
without_influencer,40,42,2,hybrid,79,21,32,26,263,141,100,431,444,384,0.610209,0.317568,0.260417
without_influencer,40,11,3,hybrid,112,37,33,42,152,186,168,447,471,354,0.340045,0.394904,0.474576
with_influencer,40,11,3,hybrid,29,10,11,8,148,224,153,447,495,330,0.331096,0.452525,0.463636
without_influencer,40,42,3,hybrid,120,39,43,38,109,93,108,406,445,408,0.268473,0.208989,0.264706
without_influencer,40,20,1,hybrid,49,18,17,14,167,115,162,406,400,439,0.411330,0.287500,0.369021
with_influencer,40,11,2,hybrid,35,13,13,9,141,159,191,446,430,396,0.316143,0.369767,0.482323
