variant,size,seed,layers,similarity,species,num_clusters,cluster_sizes
without_influencer,40,42,1,hybrid,blue,15,130;94;85;32;19;15;6;6;6;5;3;2;2;1;1
baseline,40,17,1,cosine,red,41,195;53;51;38;15;13;6;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,17,1,cosine,green,30,181;79;72;56;12;5;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,17,1,cosine,blue,38,158;114;43;36;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,11,1,hybrid,red,17,95;72;46;44;35;26;22;20;19;18;12;5;5;5;3;1;1
without_influencer,40,11,1,hybrid,green,17,154;106;69;20;19;11;7;7;5;5;4;4;4;4;1;1;1
without_influencer,40,11,1,hybrid,blue,11,197;100;27;21;19;17;14;12;12;1;1
without_influencer,40,11,2,hybrid,red,30,76;69;60;45;36;27;24;20;15;14;13;4;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,11,2,hybrid,green,18,183;113;86;33;17;15;5;4;3;2;2;1;1;1;1;1;1;1
without_influencer,40,11,2,hybrid,blue,23,173;56;41;28;19;13;10;10;5;4;2;1;1;1;1;1;1;1;1;1;1;1;1
with_influencer,40,11,1,hybrid,red,15,101;78;70;32;29;17;13;12;9;9;6;6;5;5;3
with_influencer,40,11,1,hybrid,green,16,161;122;83;20;12;11;8;8;7;6;5;5;5;3;2;2
with_influencer,40,11,1,hybrid,blue,8,210;107;42;18;14;12;8;6
without_influencer,40,42,2,hybrid,red,21,263;48;33;29;21;10;3;3;3;3;2;2;2;2;1;1;1;1;1;1;1
without_influencer,40,42,2,hybrid,green,32,141;85;39;31;29;18;17;17;14;11;7;7;4;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,42,2,hybrid,blue,26,100;70;59;44;33;18;17;8;5;5;4;4;2;2;2;1;1;1;1;1;1;1;1;1;1;1
