variant,size,seed,layers,similarity,step,moves,tau,entropy,gini,drift
without_influencer,60,42,2,hybrid,16,0,0.666496,0.591925,0.270210,0.008513
without_influencer,60,20,1,hybrid,16,0,0.672804,0.361790,0.168274,0.013681
with_influencer,60,42,1,hybrid,16,26,0.705377,0.192071,0.088960,0.021783
without_influencer,60,20,3,hybrid,16,0,0.679739,0.658323,0.297549,0.008204
with_influencer,60,42,3,hybrid,16,10,0.672321,0.295080,0.137555,0.020856
with_influencer,60,20,2,hybrid,16,12,0.670460,0.289455,0.134829,0.026061
baseline,60,22,1,cosine,16,954,0.833333,0.446559,0.193982,0.000000
without_influencer,60,17,1,hybrid,16,0,0.664146,0.391296,0.181081,0.012845
with_influencer,60,20,1,hybrid,16,14,0.693203,0.232779,0.108203,0.017224
with_influencer,60,20,3,hybrid,16,8,0.679450,0.282013,0.131178,0.020159
baseline,60,605,1,cosine,16,966,0.833333,0.451241,0.197098,0.000000
baseline,60,70,1,cosine,16,908,0.750000,0.363891,0.159908,0.000000
without_influencer,60,17,2,hybrid,16,0,0.665586,0.590096,0.268133,0.008786
with_influencer,60,17,1,hybrid,16,12,0.691210,0.232805,0.108548,0.018359
without_influencer,60,22,1,hybrid,16,0,0.671937,0.363103,0.168993,0.011784
without_influencer,60,17,3,hybrid,16,0,0.674481,0.718091,0.323945,0.008014
with_influencer,60,17,2,hybrid,16,6,0.673275,0.267211,0.124488,0.028848
without_influencer,60,22,2,hybrid,16,0,0.670937,0.543007,0.247608,0.007710
without_influencer,60,605,1,hybrid,16,0,0.672300,0.336428,0.155447,0.013404
with_influencer,60,17,3,hybrid,16,9,0.663450,0.327199,0.152210,0.016437
without_influencer,60,22,3,hybrid,16,0,0.681764,0.648059,0.293624,0.004887
with_influencer,60,22,1,hybrid,16,22,0.702898,0.195874,0.091290,0.021072
with_influencer,60,22,2,hybrid,16,3,0.675626,0.278749,0.129461,0.024128
without_influencer,60,605,2,hybrid,16,0,0.667247,0.597351,0.270622,0.008421
with_influencer,60,22,3,hybrid,16,8,0.696691,0.212213,0.099451,0.029064
with_influencer,60,605,1,hybrid,16,19,0.711395,0.170782,0.079321,0.022578
without_influencer,60,605,3,hybrid,16,0,0.678264,0.682961,0.307807,0.004950
without_influencer,60,70,1,hybrid,16,0,0.669807,0.364676,0.169578,0.012240
with_influencer,60,605,2,hybrid,16,13,0.688974,0.221833,0.103281,0.034571
with_influencer,60,605,3,hybrid,16,10,0.690631,0.230840,0.107192,0.027614
without_influencer,60,70,2,hybrid,16,0,0.666737,0.589657,0.267644,0.008615
without_influencer,60,70,3,hybrid,16,0,0.677748,0.712696,0.320884,0.004836
with_influencer,60,70,1,hybrid,16,30,0.702237,0.202284,0.093947,0.021853
baseline,80,11,1,cosine,16,1747,0.833333,0.456874,0.199412,0.000000
with_influencer,60,70,2,hybrid,16,4,0.687765,0.246633,0.114369,0.027854
with_influencer,60,70,3,hybrid,16,6,0.682994,0.259153,0.120806,0.022721
baseline,80,42,1,cosine,16,1689,0.800000,0.424228,0.185368,0.000000
baseline,80,20,1,cosine,16,1673,0.833333,0.437094,0.191110,0.000000
baseline,80,17,1,cosine,16,1641,0.750000,0.361634,0.159932,0.000000
without_influencer,80,11,2,hybrid,16,0,0.667661,0.576418,0.261883,0.010236
without_influencer,80,11,1,hybrid,16,0,0.671080,0.345391,0.159970,0.014136
without_influencer,80,42,1,hybrid,16,1,0.669959,0.369154,0.171848,0.013244
with_influencer,80,11,2,hybrid,16,25,0.684933,0.236489,0.109834,0.032467
with_influencer,80,11,3,hybrid,16,11,0.691418,0.236452,0.109867,0.026565
with_influencer,80,11,1,hybrid,16,26,0.698408,0.213991,0.099185,0.020087
without_influencer,80,42,3,hybrid,16,1,0.677841,0.697842,0.313641,0.006566
without_influencer,80,20,1,hybrid,16,2,0.677299,0.324028,0.150458,0.013858
without_influencer,80,11,3,hybrid,16,0,0.678873,0.685047,0.308120,0.006714
with_influencer,80,42,2,hybrid,16,9,0.671675,0.288590,0.134565,0.022771
without_influencer,80,42,2,hybrid,16,0,0.669121,0.565624,0.257551,0.008419
with_influencer,80,42,1,hybrid,16,50,0.692053,0.223905,0.104268,0.023225
with_influencer,80,42,3,hybrid,16,9,0.682034,0.264700,0.123288,0.022469
without_influencer,80,20,2,hybrid,16,0,0.668966,0.545475,0.248794,0.009705
without_influencer,80,20,3,hybrid,16,0,0.678480,0.656005,0.294674,0.005704
with_influencer,80,20,2,hybrid,16,15,0.694876,0.206608,0.096637,0.034921
with_influencer,80,20,3,hybrid,16,17,0.690103,0.239708,0.111099,0.027502
baseline,80,22,1,cosine,16,1711,0.800000,0.435514,0.189277,0.000000
with_influencer,80,20,1,hybrid,16,45,0.707626,0.178915,0.083123,0.023567
baseline,80,605,1,cosine,16,1666,0.800000,0.397385,0.174299,0.000000
without_influencer,80,17,1,hybrid,16,1,0.675221,0.340472,0.158592,0.012392
baseline,80,70,1,cosine,16,1657,0.800000,0.434036,0.189323,0.000000
without_influencer,80,17,2,hybrid,16,0,0.666377,0.588117,0.267574,0.007772
with_influencer,80,17,2,hybrid,16,13,0.681870,0.252632,0.117624,0.027952
without_influencer,80,22,1,hybrid,16,2,0.669501,0.353600,0.163923,0.013648
without_influencer,80,22,3,hybrid,16,0,0.675239,0.687429,0.308580,0.006989
without_influencer,80,17,3,hybrid,16,0,0.678723,0.703451,0.316454,0.005402
with_influencer,80,17,1,hybrid,16,32,0.708559,0.179559,0.083164,0.023284
without_influencer,80,22,2,hybrid,16,0,0.667372,0.568317,0.257200,0.008487
with_influencer,80,22,1,hybrid,16,54,0.700097,0.211335,0.098594,0.021533
without_influencer,80,605,1,hybrid,16,0,0.679427,0.316040,0.146619,0.012906
with_influencer,80,17,3,hybrid,16,19,0.681674,0.271462,0.126377,0.021433
with_influencer,80,22,3,hybrid,16,9,0.678371,0.281368,0.130662,0.020173
without_influencer,80,605,2,hybrid,16,0,0.671302,0.551805,0.250728,0.008502
with_influencer,80,22,2,hybrid,16,16,0.677876,0.265312,0.123456,0.025943
