variant,size,layers,final_entropy_mean,final_entropy_std,final_gini_mean,final_gini_std,final_drift_mean,final_drift_std,final_moves_mean,final_moves_std,total_clusters_mean,total_clusters_std,frac_largest_red_mean,frac_largest_green_mean,frac_largest_blue_mean
with_influencer,40,3,0.23370328571428572,0.043563288006126924,0.10910114285714287,0.020045584297034697,0.025953285714285713,0.005283210126248551,5.142857142857143,2.3401261667248794,28.0,2.160246899469287,0.4609252857142857,0.5391354285714286,0.37489771428571433
with_influencer,60,1,0.21529142857142855,0.03634105913360783,0.09996885714285715,0.016700166879690864,0.020632,0.0020177991310666517,18.714285714285715,7.889112449325034,74.0,7.071067811865476,0.21235857142857142,0.23078485714285715,0.26192328571428575
with_influencer,60,2,0.27247914285714286,0.039397969974896654,0.1266735714285714,0.018246709875638235,0.02713585714285714,0.0044568446771444115,7.571428571428571,3.8668308667927214,71.14285714285714,8.15329322888552,0.23014542857142858,0.27122557142857145,0.30401628571428574
with_influencer,60,3,0.27868514285714285,0.04835237913287745,0.12969614285714287,0.02220438682954769,0.021343857142857144,0.005827483602967678,7.428571428571429,3.154739442867026,62.57142857142857,10.706028564273852,0.2524602857142857,0.27576228571428574,0.29567942857142854
with_influencer,80,1,0.19942757142857143,0.023079214045378167,0.09274585714285714,0.010791242397249283,0.02176,0.0016032864164999758,40.142857142857146,10.139503134252871,118.71428571428571,8.693182879212229,0.1702584285714286,0.18089857142857144,0.20128457142857142
with_influencer,80,2,0.24622085714285716,0.026154823331007045,0.11468500000000001,0.012103478645965105,0.029152428571428572,0.004152976436932226,15.142857142857142,5.398412465054624,118.0,8.698658900466592,0.15490171428571428,0.16264185714285714,0.21049957142857142
with_influencer,80,3,0.25341657142857144,0.023605429388576,0.11782742857142857,0.010858686643376702,0.024828142857142858,0.0036066240183201532,14.0,4.203173404306164,100.28571428571429,5.345224838248487,0.2320217142857143,0.1676625714285714,0.31385014285714286
with_influencer,100,1,0.20088785714285715,0.013326346779076046,0.09333128571428571,0.0061813533500436006,0.021167714285714286,0.0016664095849346007,69.0,19.782146833277054,177.57142857142858,6.294366339755544,0.1781517142857143,0.15861957142857142,0.15583557142857143
with_influencer,100,2,0.22766885714285715,0.01569096535620176,0.10599885714285714,0.007299303241373373,0.03305642857142858,0.0028430925566562703,31.0,6.403124237432849,169.0,8.679477710861024,0.1699672857142857,0.14315014285714286,0.20209542857142856
with_influencer,100,3,0.2420337142857143,0.016742383658590217,0.11279142857142857,0.007764122398510188,0.02563442857142857,0.0030480607418019554,25.857142857142858,7.5813053279887415,138.85714285714286,7.6469726347222196,0.17607071428571427,0.18557442857142856,0.21150057142857143
