variant,size,seed,layers,similarity,run_tag,final_step,final_moves,final_tau,final_entropy,final_gini,final_drift,n_steps,auc_moves,auc_tau,auc_entropy,auc_gini,auc_drift,first_zero_moves_step,stable_moves_step,stable_tau_step,stable_entropy_step,stable_gini_step,stable_drift_step,delta_moves_last,delta_tau_last,delta_entropy_last,delta_gini_last,delta_drift_last,total_clusters,num_clusters_red,num_clusters_green,num_clusters_blue,largest_red,largest_green,largest_blue,total_red,total_green,total_blue,frac_largest_red,frac_largest_green,frac_largest_blue
baseline,60,20,1,cosine,baseline_size60_seed20_L1_cosine,16,908,0.75,0.397298,0.174731,0.0,16,14787.0,11.415475,8.232559,3.6184600000000002,0.0,,,7.0,,,2.0,-49.0,-0.08333299999999999,-0.06780600000000003,-0.02751200000000001,0.0,263,95,74,94,215,206,270,915,887,1012,0.234973,0.232244,0.266798
baseline,60,22,1,cosine,baseline_size60_seed22_L1_cosine,16,954,0.833333,0.446559,0.193982,0.0,16,14875.0,11.615473999999999,8.156854,3.588032,0.0,,,15.0,,,2.0,29.0,0.0,0.03323599999999999,0.013248999999999983,0.0,298,101,94,103,290,207,273,915,927,950,0.31694,0.223301,0.287368
baseline,60,42,1,cosine,baseline_size60_seed42_L1_cosine,16,874,0.833333,0.415815,0.181371,0.0,16,14898.0,11.413094000000001,8.33175,3.661638,0.0,,,,,,2.0,-29.0,0.08333299999999999,0.03734399999999999,0.015339999999999993,0.0,280,92,96,92,274,466,191,892,957,966,0.307175,0.486938,0.197723
baseline,60,70,1,cosine,baseline_size60_seed70_L1_cosine,16,908,0.75,0.363891,0.159908,0.0,16,14727.0,11.347619000000002,8.42969,3.7052760000000005,0.0,,7.0,7.0,,,2.0,-33.0,-0.08333299999999999,-0.113315,-0.048251000000000016,0.0,235,84,71,80,178,198,412,894,980,930,0.199105,0.202041,0.443011
baseline,60,605,1,cosine,baseline_size60_seed605_L1_cosine,16,966,0.833333,0.451241,0.197098,0.0,16,14706.0,11.459522,8.349221,3.678133,0.0,,,7.0,,,2.0,57.0,0.033332999999999946,0.02634700000000001,0.009560999999999986,0.0,300,102,101,97,164,198,185,921,940,925,0.178067,0.210638,0.2
baseline,80,11,1,cosine,baseline_size80_seed11_L1_cosine,16,1747,0.833333,0.456874,0.199412,0.0,16,26991.0,11.484522000000002,8.481593,3.71891,0.0,,,7.0,,,2.0,9.0,0.033332999999999946,0.018778000000000017,0.008495000000000003,0.0,509,167,170,172,250,195,331,1667,1673,1664,0.14997,0.116557,0.198918
baseline,80,17,1,cosine,baseline_size80_seed17_L1_cosine,16,1641,0.75,0.361634,0.159932,0.0,16,26059.0,11.404762000000002,8.263361,3.636743,0.0,,,7.0,,,2.0,-49.0,-0.10714299999999999,-0.10737199999999997,-0.04407,0.0,440,144,143,153,458,181,412,1663,1679,1621,0.275406,0.107802,0.254164
baseline,80,20,1,cosine,baseline_size80_seed20_L1_cosine,16,1673,0.833333,0.437094,0.19111,0.0,16,26444.0,11.515475,8.333354,3.6564069999999997,0.0,,,5.0,,,2.0,31.0,0.033332999999999946,0.029536000000000007,0.013115999999999989,0.0,515,167,189,159,264,851,454,1609,1639,1749,0.164077,0.519219,0.259577
baseline,80,22,1,cosine,baseline_size80_seed22_L1_cosine,16,1711,0.8,0.435514,0.189277,0.0,16,26334.0,11.395237000000002,8.411191,3.69151,0.0,,,15.0,,,2.0,31.0,-0.033332999999999946,-0.02298,-0.010194000000000009,0.0,504,163,177,164,298,330,643,1625,1662,1708,0.183385,0.198556,0.376464
baseline,80,42,1,cosine,baseline_size80_seed42_L1_cosine,16,1689,0.8,0.424228,0.185368,0.0,16,26384.0,11.413095,8.457324,3.711075,0.0,,,5.0,,,2.0,35.0,-0.033332999999999946,-0.01705899999999999,-0.007432999999999995,0.0,472,163,165,144,254,341,502,1622,1704,1670,0.156597,0.200117,0.300599
