variant,size,seed,layers,similarity,run_tag,step,moves,tau,entropy,gini,drift,metrics_file
with_influencer,20,11,2,hybrid,with_influencer_size20_seed11_L2_hybrid,12,0,0.618151,0.464336,0.214832,0.013271,outputs\size_sweep\metrics\with_influencer_size20_seed11_L2_hybrid.csv
with_influencer,20,11,2,hybrid,with_influencer_size20_seed11_L2_hybrid,13,0,0.618284,0.455696,0.210643,0.009552,outputs\size_sweep\metrics\with_influencer_size20_seed11_L2_hybrid.csv
with_influencer,20,11,2,hybrid,with_influencer_size20_seed11_L2_hybrid,14,0,0.619896,0.448398,0.207358,0.009879,outputs\size_sweep\metrics\with_influencer_size20_seed11_L2_hybrid.csv
with_influencer,20,11,2,hybrid,with_influencer_size20_seed11_L2_hybrid,15,1,0.62143,0.442479,0.20448,0.012603,outputs\size_sweep\metrics\with_influencer_size20_seed11_L2_hybrid.csv
with_influencer,20,11,2,hybrid,with_influencer_size20_seed11_L2_hybrid,16,1,0.623473,0.437686,0.202312,0.013183,outputs\size_sweep\metrics\with_influencer_size20_seed11_L2_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,1,13,0.385664,1.084288,0.477819,0.306432,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,2,4,0.498189,0.877605,0.398322,0.19728,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,3,2,0.542854,0.711667,0.32579,0.143886,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,4,2,0.566062,0.62469,0.286198,0.106239,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,5,3,0.586947,0.543951,0.250084,0.083551,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,6,3,0.603879,0.508668,0.234291,0.065811,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,7,0,0.613247,0.487435,0.225125,0.046871,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,8,2,0.617782,0.439715,0.204216,0.049479,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,9,2,0.629148,0.413944,0.192218,0.046226,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,10,0,0.637934,0.400831,0.185966,0.035421,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,11,0,0.642357,0.386833,0.178923,0.027487,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,12,0,0.645788,0.382106,0.176768,0.021948,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,13,1,0.649197,0.366028,0.169333,0.02299,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,14,0,0.651975,0.36271,0.168163,0.0163,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,15,0,0.653714,0.360039,0.166963,0.015749,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,11,3,hybrid,with_influencer_size20_seed11_L3_hybrid,16,1,0.656543,0.356522,0.165144,0.014064,outputs\size_sweep\metrics\with_influencer_size20_seed11_L3_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,1,106,0.123571,0.905302,0.409906,0.278528,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,2,53,0.293886,0.650447,0.299438,0.221849,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,3,17,0.415604,0.557172,0.256696,0.15657,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,4,0,0.503364,0.474131,0.219749,0.107683,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,5,0,0.544457,0.462696,0.214099,0.079254,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,6,1,0.571153,0.447525,0.207923,0.0638,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,7,1,0.589976,0.435178,0.202266,0.058124,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,8,1,0.604809,0.418533,0.194232,0.043993,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,9,0,0.614645,0.398433,0.184443,0.039985,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,10,0,0.624828,0.398433,0.184443,0.033372,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,11,0,0.633173,0.390493,0.18071,0.02915,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,12,0,0.638635,0.375233,0.173434,0.0273,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,13,1,0.644011,0.370946,0.171566,0.020002,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,14,1,0.647943,0.367184,0.169616,0.019029,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,15,1,0.650832,0.350768,0.162582,0.019544,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,1,hybrid,with_influencer_size20_seed17_L1_hybrid,16,0,0.65343,0.350768,0.162582,0.015584,outputs\size_sweep\metrics\with_influencer_size20_seed17_L1_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,1,37,0.281425,1.043198,0.461724,0.345035,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,2,6,0.438212,0.860898,0.388005,0.203786,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,3,1,0.507429,0.670112,0.3034,0.144552,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,4,0,0.560205,0.568913,0.258925,0.089875,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,5,2,0.583199,0.472925,0.216842,0.069965,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,6,3,0.602312,0.441058,0.20307,0.056303,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,7,3,0.614538,0.395507,0.182842,0.050537,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,8,2,0.626823,0.353886,0.164718,0.052782,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,9,1,0.638381,0.319909,0.149747,0.046621,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,10,1,0.644794,0.310701,0.145253,0.039876,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,11,1,0.652316,0.295685,0.138493,0.035538,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,12,1,0.658561,0.291502,0.136826,0.029284,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,13,0,0.661983,0.291502,0.136826,0.027189,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,14,0,0.664467,0.291502,0.136826,0.018068,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,15,1,0.666747,0.279875,0.131323,0.020816,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,2,hybrid,with_influencer_size20_seed17_L2_hybrid,16,1,0.669531,0.265096,0.124513,0.028232,outputs\size_sweep\metrics\with_influencer_size20_seed17_L2_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,1,16,0.386273,1.09162,0.483076,0.337693,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,2,3,0.51194,0.813902,0.368981,0.213109,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,3,2,0.55778,0.651694,0.298326,0.155381,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,4,1,0.585439,0.50767,0.234981,0.104886,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,5,2,0.606833,0.461844,0.21508,0.075138,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,6,3,0.621274,0.394163,0.183694,0.062415,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,7,0,0.633817,0.363631,0.169402,0.043027,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,8,2,0.643343,0.330334,0.15443,0.037953,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,9,2,0.650035,0.310181,0.145226,0.037934,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,10,0,0.658533,0.310181,0.145226,0.024015,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,11,0,0.662477,0.303725,0.141976,0.020234,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,12,0,0.665754,0.303725,0.141976,0.016222,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,13,1,0.66707,0.287103,0.134422,0.018741,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,14,0,0.670107,0.287103,0.134422,0.012961,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,15,0,0.671752,0.287103,0.134422,0.010455,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,17,3,hybrid,with_influencer_size20_seed17_L3_hybrid,16,0,0.672886,0.283729,0.132729,0.010914,outputs\size_sweep\metrics\with_influencer_size20_seed17_L3_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,1,84,0.151105,0.906191,0.406554,0.261939,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,2,42,0.314837,0.692645,0.316343,0.201462,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,3,13,0.431158,0.543435,0.24852,0.153428,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,4,6,0.510166,0.468077,0.217117,0.11558,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,5,5,0.552436,0.425507,0.195498,0.09188,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,6,4,0.579799,0.395412,0.182855,0.072492,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,7,4,0.603231,0.368064,0.169918,0.062144,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,8,7,0.616473,0.343268,0.159299,0.052635,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,9,3,0.628921,0.333277,0.15474,0.048696,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,10,5,0.642008,0.313077,0.146014,0.041656,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,11,3,0.650504,0.30782,0.142735,0.036651,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,12,4,0.65687,0.295674,0.137798,0.032494,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,13,3,0.662874,0.301069,0.139637,0.027757,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,14,4,0.669426,0.294027,0.136837,0.024523,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,15,3,0.673384,0.297394,0.137432,0.020116,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,1,hybrid,with_influencer_size20_seed20_L1_hybrid,16,5,0.676941,0.282762,0.131768,0.018755,outputs\size_sweep\metrics\with_influencer_size20_seed20_L1_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,1,39,0.298163,1.008623,0.446325,0.325748,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,2,5,0.448109,0.810704,0.370775,0.197694,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,3,1,0.51795,0.676194,0.31126,0.130158,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,4,3,0.558621,0.614811,0.284239,0.105019,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,5,4,0.585918,0.518614,0.240359,0.07771,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,6,2,0.607678,0.455076,0.211561,0.068624,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,7,1,0.623409,0.429076,0.19937,0.052157,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,8,1,0.636704,0.378754,0.175193,0.049106,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,9,0,0.645617,0.368885,0.170285,0.042087,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,10,1,0.653301,0.334362,0.154173,0.041301,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,11,2,0.659587,0.308148,0.1429,0.042092,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,12,2,0.665297,0.288133,0.133954,0.041336,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,13,1,0.672553,0.268788,0.124407,0.036883,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,14,0,0.676704,0.261731,0.121211,0.033381,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,15,1,0.680077,0.254529,0.117934,0.027878,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,2,hybrid,with_influencer_size20_seed20_L2_hybrid,16,3,0.685674,0.240638,0.111265,0.035721,outputs\size_sweep\metrics\with_influencer_size20_seed20_L2_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,1,11,0.400863,1.058575,0.467126,0.307353,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,2,3,0.516883,0.77675,0.355184,0.213533,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,3,2,0.569425,0.595093,0.274622,0.14786,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,4,2,0.606771,0.49123,0.227176,0.103405,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,5,1,0.630691,0.423147,0.196264,0.079277,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,6,1,0.644967,0.37568,0.175362,0.057133,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,7,1,0.653381,0.325553,0.151238,0.054493,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,8,2,0.66511,0.300447,0.139346,0.049189,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,9,1,0.672264,0.267822,0.124118,0.043175,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,10,0,0.678123,0.257823,0.119881,0.038137,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,11,3,0.684297,0.244646,0.113997,0.033253,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,12,4,0.688666,0.213112,0.099485,0.042087,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,13,2,0.694127,0.196069,0.091199,0.046952,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,14,4,0.701515,0.172636,0.080536,0.051813,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,15,2,0.707088,0.160828,0.074759,0.04396,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,20,3,hybrid,with_influencer_size20_seed20_L3_hybrid,16,1,0.711748,0.157289,0.072938,0.03425,outputs\size_sweep\metrics\with_influencer_size20_seed20_L3_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,1,99,0.145615,0.770987,0.345916,0.283485,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,2,50,0.329297,0.525947,0.242372,0.207314,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,3,22,0.461733,0.373986,0.174145,0.153717,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,4,13,0.539344,0.305092,0.141842,0.117313,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,5,6,0.577228,0.252964,0.116694,0.104934,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,6,5,0.612877,0.223887,0.10476,0.078082,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,7,5,0.633759,0.219156,0.101912,0.071122,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,8,7,0.650504,0.191208,0.088693,0.068506,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,9,7,0.672815,0.192187,0.089414,0.05983,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,10,6,0.693168,0.171235,0.080083,0.046856,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,11,5,0.701212,0.167122,0.077938,0.037144,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,12,5,0.706124,0.152346,0.071535,0.032901,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,13,6,0.710422,0.155998,0.072677,0.032377,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,14,5,0.714099,0.143233,0.067145,0.028865,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,15,7,0.71683,0.148593,0.068982,0.028565,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,1,hybrid,with_influencer_size20_seed22_L1_hybrid,16,5,0.719212,0.12946,0.060745,0.027794,outputs\size_sweep\metrics\with_influencer_size20_seed22_L1_hybrid.csv
with_influencer,20,22,2,hybrid,with_influencer_size20_seed22_L2_hybrid,1,45,0.287478,0.919743,0.407338,0.344071,outputs\size_sweep\metrics\with_influencer_size20_seed22_L2_hybrid.csv
with_influencer,20,22,2,hybrid,with_influencer_size20_seed22_L2_hybrid,2,14,0.437731,0.646824,0.293182,0.224463,outputs\size_sweep\metrics\with_influencer_size20_seed22_L2_hybrid.csv
with_influencer,20,22,2,hybrid,with_influencer_size20_seed22_L2_hybrid,3,8,0.522404,0.458444,0.209672,0.155599,outputs\size_sweep\metrics\with_influencer_size20_seed22_L2_hybrid.csv
with_influencer,20,22,2,hybrid,with_influencer_size20_seed22_L2_hybrid,4,1,0.586092,0.397906,0.182372,0.093295,outputs\size_sweep\metrics\with_influencer_size20_seed22_L2_hybrid.csv
with_influencer,20,22,2,hybrid,with_influencer_size20_seed22_L2_hybrid,5,2,0.61385,0.336447,0.154061,0.070861,outputs\size_sweep\metrics\with_influencer_size20_seed22_L2_hybrid.csv
with_influencer,20,22,2,hybrid,with_influencer_size20_seed22_L2_hybrid,6,2,0.638368,0.287254,0.134251,0.056938,outputs\size_sweep\metrics\with_influencer_size20_seed22_L2_hybrid.csv
