variant,size,seed,layers,similarity,run_tag,step,moves,tau,entropy,gini,drift,metrics_file
without_influencer,120,605,3,hybrid,without_influencer_size120_seed605_L3_hybrid,8,1,0.669118,0.715804,0.321399,0.028899,outputs\size_sweep\metrics\without_influencer_size120_seed605_L3_hybrid.csv
without_influencer,120,605,3,hybrid,without_influencer_size120_seed605_L3_hybrid,9,1,0.671432,0.708318,0.318072,0.021925,outputs\size_sweep\metrics\without_influencer_size120_seed605_L3_hybrid.csv
without_influencer,120,605,3,hybrid,without_influencer_size120_seed605_L3_hybrid,10,0,0.673046,0.701371,0.315042,0.01715,outputs\size_sweep\metrics\without_influencer_size120_seed605_L3_hybrid.csv
without_influencer,120,605,3,hybrid,without_influencer_size120_seed605_L3_hybrid,11,1,0.674276,0.696064,0.312829,0.014416,outputs\size_sweep\metrics\without_influencer_size120_seed605_L3_hybrid.csv
without_influencer,120,605,3,hybrid,without_influencer_size120_seed605_L3_hybrid,12,0,0.675277,0.693202,0.311658,0.011589,outputs\size_sweep\metrics\without_influencer_size120_seed605_L3_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,1,4808,0.150841,0.910834,0.405051,0.314111,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,2,2026,0.331946,0.636654,0.28802,0.234985,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,3,543,0.463022,0.49724,0.226855,0.16005,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,4,132,0.537281,0.437381,0.200822,0.113558,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,5,39,0.577488,0.4109,0.189178,0.089008,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,6,13,0.605037,0.389153,0.179623,0.068273,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,7,8,0.624677,0.371443,0.171646,0.054555,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,8,5,0.638547,0.358611,0.166139,0.043591,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,9,6,0.648485,0.348264,0.161388,0.035614,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,10,4,0.65618,0.339774,0.157648,0.029902,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,11,2,0.661886,0.332952,0.154435,0.024948,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,1,hybrid,without_influencer_size140_seed11_L1_hybrid,12,6,0.666265,0.327611,0.151924,0.021395,outputs\size_sweep\metrics\without_influencer_size140_seed11_L1_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,1,778,0.361353,1.095821,0.47952,0.325612,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,2,46,0.502574,0.91692,0.408319,0.202488,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
without_influencer,140,11,2,hybrid,without_influencer_size140_seed11_L2_hybrid,3,9,0.569943,0.784665,0.352493,0.137767,outputs\size_sweep\metrics\without_influencer_size140_seed11_L2_hybrid.csv
